6400000	2452	2
6400000	2452	3
6400000	2452	9
6400000	2452	4
6400000	2452	7
6400000	2452	19
6400000	2452	3
6400000	2452	9
6400000	2452	0
6400000	2600	1
6400000	3313	1
6400000	3313	6
6400000	3536	1
6400000	9567	1
6400000	15065	0
6400000	15258	2
6400000	15258	4
6400000	18712	3
6400000	20551	1
6400000	22371	2
6400000	26737	2
6400000	28270	2
10112000	6839	2
5226500	3627	14
5226500	3627	0
5226500	7868	13
5226500	7868	0
5226500	7868	0
5226500	23829	13
5279750	2368	34
5279750	2368	11
5279750	2368	17
5279750	3228	5
5279750	6880	9
5279750	14956	1
5279750	20386	8
5279750	20386	8
5279750	20386	4
5279750	20386	6
5279750	20386	2
981000	11176	131
981000	11176	2
981000	12394	30
981000	12394	23
981000	12394	0
981000	12737	1
981000	14020	12
981000	14153	5
981000	27160	4
981000	27160	20
1699500	16716	7
1699500	16716	4
1699500	16716	0
1699500	24715	8
1699500	24715	0
1699500	24715	0
3903500	1392	0
3903500	1392	12
3903500	15514	1
1140750	1293	0
1140750	2251	4
1140750	5736	0
1140750	6741	1
1140750	7868	1
1140750	12541	3
1140750	12541	10
1140750	14261	2
1140750	15395	4
1140750	17823	0
1140750	19421	9
1140750	22313	1
1140750	22313	3
1140750	23782	1
1140750	24172	1
1140750	25651	1
1140750	27060	0
1140750	27912	1
5034000	7465	23
5034000	7465	4
6872750	20393	6
6996000	6305	0
6996000	13754	4
6996000	16067	1
393250	519	4
393250	2891	1
393250	4949	19
393250	13093	2
393250	20154	7
393250	22306	0
4259500	3135	8
4259500	8005	3
4259500	9111	2
4259500	11018	4
4259500	11176	13
4259500	12541	0
4259500	15315	1
4259500	15315	3
4259500	23628	3
4259500	29099	3
4259500	29099	4
190500	4281	2
190500	18465	2
190500	20751	0
3249250	2513	3
3249250	2513	0
3249250	2513	4
3249250	2513	0
3249250	26394	2
3249250	28641	1
1118250	3068	0
1118250	3626	1
1118250	5661	5
1118250	6672	1
1118250	7061	0
1118250	7070	0
1118250	8278	4
1118250	8278	2
1118250	10970	1
1118250	11176	1
1118250	13494	6
1118250	14294	5
1118250	14794	9
1118250	15584	4
1118250	18712	0
1118250	18967	1
1118250	19096	0
1118250	24306	4
1118250	24306	3
1118250	24306	0
1118250	26665	4
1118250	26665	0
1118250	27346	0
5011500	6219	1
5011500	6331	6
5011500	11196	10
5011500	11196	0
5011500	13749	4
5011500	20180	4
5011500	22280	0
5011500	22280	7
5011500	23013	12
5011500	23013	0
5011500	23013	5
5011500	23779	2
5011500	23779	6
5011500	27092	2
1365000	13737	1
1365000	13737	10
1365000	14580	9
7016500	1366	1
7016500	24193	0
7016500	26546	0
3795000	12352	2
3795000	29099	8
3795000	29099	0
1528500	646	0
1528500	1505	0
1528500	5799	6
1528500	5799	1
1528500	7248	0
1528500	12977	0
1528500	12977	0
1528500	12977	0
1528500	18466	1
1528500	18736	6
1528500	21092	11
1528500	22280	0
1528500	22749	0
1528500	22749	5
1528500	22749	6
1528500	23774	0
1528500	23774	6
1528500	23774	3
1528500	23781	2
